"account_name","order_date"
"DISH Network","2013-12-04 04:22:44"
"DISH Network","2013-12-04 04:45:54"
"American Family Insurance Group","2013-12-04 04:53:25"
"Citigroup","2013-12-05 20:29:16"
"Citigroup","2013-12-05 20:33:56"
"Altria Group","2013-12-06 02:13:20"
"United States Steel","2013-12-06 12:55:22"
"United States Steel","2013-12-06 12:57:41"
"Guardian Life Ins. Co. of America","2013-12-06 13:14:47"
"Guardian Life Ins. Co. of America","2013-12-06 13:17:25"
"BlackRock","2013-12-06 23:45:16"
"BlackRock","2013-12-06 23:47:45"
"Colgate-Palmolive","2013-12-08 00:54:42"
"PPL","2013-12-08 06:34:23"
"IBM","2013-12-08 07:05:07"
"IBM","2013-12-08 07:11:38"
"TJX","2013-12-08 18:24:52"
"TJX","2013-12-08 18:32:52"
"Land O'Lakes","2013-12-08 20:13:49"
"Land O'Lakes","2013-12-08 20:37:53"
"United Continental Holdings","2013-12-09 15:39:02"
"United Continental Holdings","2013-12-09 15:42:23"
"Lithia Motors","2013-12-09 22:19:26"
"Cisco Systems","2013-12-10 14:36:56"
"Cisco Systems","2013-12-10 14:43:18"
"United Natural Foods","2013-12-10 16:10:52"
"United Natural Foods","2013-12-10 16:25:51"
"Supervalu","2013-12-11 03:17:57"
"Supervalu","2013-12-11 03:42:54"
"Whirlpool","2013-12-11 07:45:07"
"McDonald's","2013-12-11 16:34:12"
"Bank of America Corp.","2013-12-11 20:36:06"
"Bank of America Corp.","2013-12-11 20:42:09"
"Best Buy","2013-12-12 04:47:28"
"EOG Resources","2013-12-12 09:48:16"
"EOG Resources","2013-12-12 09:54:34"
"Archer Daniels Midland","2013-12-12 16:26:53"
"Archer Daniels Midland","2013-12-12 16:33:14"
"Massachusetts Mutual Life Insurance","2013-12-12 17:49:47"
"Leucadia National","2013-12-13 17:58:50"
"Leucadia National","2013-12-13 18:20:51"
"New York Life Insurance","2013-12-14 09:19:37"
"Dollar General","2013-12-14 10:24:39"
"Dollar General","2013-12-14 10:37:07"
"FirstEnergy","2013-12-14 21:40:29"
"FirstEnergy","2013-12-14 21:42:11"
"Western Refining","2013-12-15 23:48:05"
"Southwest Airlines","2013-12-16 02:27:22"
"AutoNation","2013-12-16 06:16:57"
"AutoNation","2013-12-16 06:34:38"
"Ecolab","2013-12-17 12:04:46"
"Sysco","2013-12-17 21:43:40"
"Sysco","2013-12-17 21:54:36"
"Walgreens Boots Alliance","2013-12-17 23:02:57"
"Twenty-First Century Fox","2013-12-18 10:36:28"
"Western Digital","2013-12-18 23:35:31"
"Western Digital","2013-12-18 23:41:14"
"Baker Hughes","2013-12-19 16:52:20"
"Baker Hughes","2013-12-19 16:57:14"
"Jabil Circuit","2013-12-19 17:36:09"
"Jabil Circuit","2013-12-19 17:37:45"
"Core-Mark Holding","2013-12-21 16:09:46"
"Fluor","2013-12-21 17:13:55"
"Fluor","2013-12-21 17:14:11"
"Monsanto","2013-12-22 07:29:58"
"Monsanto","2013-12-22 07:35:42"
"Mosaic","2013-12-22 11:24:55"
"Mosaic","2013-12-22 11:29:05"
"General Dynamics","2013-12-22 19:43:00"
"General Dynamics","2013-12-22 19:48:13"
"Thermo Fisher Scientific","2013-12-23 07:09:20"
"Thermo Fisher Scientific","2013-12-23 07:18:28"
"Arrow Electronics","2013-12-24 20:36:08"
"Arrow Electronics","2013-12-24 20:42:09"
"Lear","2013-12-25 04:33:01"
"Republic Services","2013-12-25 21:03:52"
"Republic Services","2013-12-25 21:16:18"
"Entergy","2013-12-26 11:33:53"
"Capital One Financial","2013-12-27 05:09:46"
"Abbott Laboratories","2013-12-27 22:08:03"
"United Technologies","2013-12-28 12:54:50"
"Avis Budget Group","2013-12-28 18:26:50"
"Avis Budget Group","2013-12-28 18:36:42"
"Paccar","2013-12-29 09:35:57"
"Paccar","2013-12-29 09:50:38"
"ADP","2013-12-29 21:43:14"
"Philip Morris International","2013-12-29 23:42:44"
"Philip Morris International","2013-12-29 23:54:00"
"Centene","2013-12-30 03:52:30"
"Centene","2013-12-30 04:00:40"
"Kinder Morgan","2013-12-30 04:30:03"
"Kinder Morgan","2013-12-30 04:40:17"
"Marathon Petroleum","2013-12-30 21:42:43"
"Marathon Petroleum","2013-12-30 21:46:00"
"Disney","2013-12-31 00:18:22"
"Disney","2013-12-31 00:36:59"
"Bed Bath & Beyond","2013-12-31 02:04:00"
"Illinois Tool Works","2013-12-31 12:58:47"
"Illinois Tool Works","2013-12-31 13:14:55"
"FedEx","2014-01-01 10:56:08"
"FedEx","2014-01-01 11:13:13"
